"RTD End Time Stamp","Zone Name","Zone PTID","RTD 10 Min Sync","RTD 10 Min Non Sync","RTD 30 Min Non Sync","RTD NYCA Regulation Capacity","RTD NYCA Regulation Movement","RTD AS Price Version"
"2019/03/01 08:50:00","N.Y.C.","61761","0","0","0","4.99","0.25","1"
"2019/03/01 08:50:00","NORTH","61755","0","0","0","4.99","0.25","1"
"2019/03/01 08:50:00","WEST","61752","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","CAPITL","61757","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","CENTRL","61754","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","DUNWOD","61760","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","GENESE","61753","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","HUD VL","61758","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","LONGIL","61762","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","MHK VL","61756","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","MILLWD","61759","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","N.Y.C.","61761","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","NORTH","61755","0","0","0","4.99","0.25","1"
"2019/03/01 08:55:00","WEST","61752","0","0","0","4.99","0.25","1"
"2019/03/01 09:00:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:00:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:05:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:10:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:15:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 09:15:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 09:20:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 09:25:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:25:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:30:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:35:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:40:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:45:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:50:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","CAPITL","61757","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","CENTRL","61754","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","DUNWOD","61760","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","GENESE","61753","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","HUD VL","61758","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","LONGIL","61762","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","MHK VL","61756","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","MILLWD","61759","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","N.Y.C.","61761","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","NORTH","61755","0","0","0","5","0.19","1"
"2019/03/01 09:55:00","WEST","61752","0","0","0","5","0.19","1"
"2019/03/01 10:00:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:00:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:05:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:10:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 10:10:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 10:15:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 10:20:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:20:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:25:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:30:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 10:30:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 10:35:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 10:40:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:40:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:45:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 10:50:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 10:55:00","CAPITL","61757","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","CENTRL","61754","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","DUNWOD","61760","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","GENESE","61753","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","HUD VL","61758","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","LONGIL","61762","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","MHK VL","61756","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","MILLWD","61759","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","N.Y.C.","61761","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","NORTH","61755","0","0","0","5","0.16","1"
"2019/03/01 10:55:00","WEST","61752","0","0","0","5","0.16","1"
"2019/03/01 11:00:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 11:00:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 11:05:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","HUD VL","61758","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","LONGIL","61762","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","MHK VL","61756","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","MILLWD","61759","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","N.Y.C.","61761","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","NORTH","61755","0","0","0","2.5","0.3","1"
"2019/03/01 11:10:00","WEST","61752","0","0","0","2.5","0.3","1"
"2019/03/01 11:15:00","CAPITL","61757","0","0","0","2.5","0.3","1"
"2019/03/01 11:15:00","CENTRL","61754","0","0","0","2.5","0.3","1"
"2019/03/01 11:15:00","DUNWOD","61760","0","0","0","2.5","0.3","1"
"2019/03/01 11:15:00","GENESE","61753","0","0","0","2.5","0.3","1"
"2019/03/01 11:15:00","HUD VL","61758","0","0","0","2.5","0.3","1"
